followee_id,followee_name,follower_id,follower_name
39490506,syriza_gr,1236011611413983237,Alexand16595763
39490506,syriza_gr,1235480059655450625,prodkyr4
39490506,syriza_gr,1228752835992571906,Tansener1
39490506,syriza_gr,1143488635767087104,KkaliTheodora
39490506,syriza_gr,1235288429535035392,LykidisS
39490506,syriza_gr,1079724612005625857,VickiKokkali
39490506,syriza_gr,1085580218520256512,vmcc2P0WkSfosca
39490506,syriza_gr,1108220652740325376,hththt21232019
39490506,syriza_gr,1131485699927150594,APanselinos
39490506,syriza_gr,1386653827,AlexLazi
1235480059655450625,prodkyr4,2151065568,thetimesgr
1228752835992571906,Tansener1,1220821792115363852,KubilayAraz16
1143488635767087104,KkaliTheodora,780016864483303428,akisFireman
1143488635767087104,KkaliTheodora,2515579140,Cyprus4Holidays
1143488635767087104,KkaliTheodora,2918653621,NKatsourides
1143488635767087104,KkaliTheodora,3301785312,nikitasdhalitis
1143488635767087104,KkaliTheodora,618054310,MarilenaEvan
1143488635767087104,KkaliTheodora,1035161636720594947,CyZorro
1143488635767087104,KkaliTheodora,2917607991,frixosdalitis1
1143488635767087104,KkaliTheodora,544423185,digitallifecy
1143488635767087104,KkaliTheodora,361365530,SaviaOrphanidou
1143488635767087104,KkaliTheodora,426087285,Eleni_Mavrou
1386653827,AlexLazi,4284489455,MyBusiness36O
1386653827,AlexLazi,907265611570532352,MyBusiness360_
1386653827,AlexLazi,701420408826961920,PStefanhs
1386653827,AlexLazi,255606865,perrymaggs
1386653827,AlexLazi,1848228696,TANGOb0utique
1386653827,AlexLazi,378176878,nena_karipidou
1386653827,AlexLazi,26740835,papadopoulosnet
1386653827,AlexLazi,3042182151,STsimopoulos
1386653827,AlexLazi,4492550008,sofikala
1386653827,AlexLazi,3994904832,MpGlikeria
