followee_id,followee_name,follower_id,follower_name
36914138,neademokratia,1249779785682898944,AcharnesT
36914138,neademokratia,1250863337153400833,Soronaios
36914138,neademokratia,1250856168823689219,d_kinderlis
36914138,neademokratia,2798150072,dskourlis
36914138,neademokratia,323819437,pikria1212
36914138,neademokratia,1250847003313156102,CustosPopuli
36914138,neademokratia,1250503559109578753,9SWyejDQY9aEg7c
36914138,neademokratia,1250858082424545288,6yB7LYOSM3Agaig
36914138,neademokratia,2692163237,kimparidis
36914138,neademokratia,1250846279250436097,ATDxDlyrmIkzPgt
36914138,neademokratia,1239293902470950914,VagenasA
36914138,neademokratia,1250843353400389633,c70NKVrT5v6PPzx
36914138,neademokratia,4132106123,mavros8eos23
36914138,neademokratia,1307695014,MARIATSELI
36914138,neademokratia,1250836326980685824,DekHamze
36914138,neademokratia,317727503,mariakontou1
36914138,neademokratia,357338757,DManousakis
36914138,neademokratia,1236211815115304960,Ilias81721971
36914138,neademokratia,461395481,Arampatzakis
36914138,neademokratia,1250799888130080770,Eirhnh43645003
36914138,neademokratia,1250036057959251968,ps8laAEddc4xgEB
36914138,neademokratia,898878829133017090,viki_ntouma
36914138,neademokratia,1250778243126394880,KaragianniMirka
36914138,neademokratia,898600740175925251,PetrouMar
36914138,neademokratia,1250776563496431622,JaDuxhZnh0i3FjD
36914138,neademokratia,3361947886,Iliana21679
36914138,neademokratia,2995479496,fr_akakios
36914138,neademokratia,1042333985198800897,fo5MwMxGQzt582V
36914138,neademokratia,1250769282176294914,davari_eleni
36914138,neademokratia,3598119137,margiannis1
36914138,neademokratia,1157976078,gkalafatelis
36914138,neademokratia,1245649767801090049,OrfanoudakisGe1
36914138,neademokratia,820022842226016257,Zafeiris_
36914138,neademokratia,1241017816628822018,KoliosMargie
36914138,neademokratia,1224673265672695809,country_reports
36914138,neademokratia,1250412962613006336,ioan_kalabaliki
36914138,neademokratia,1132018311368183808,ag_johnnie
36914138,neademokratia,1029151778,GiannisKounter
36914138,neademokratia,1250719246021275649,or4RUyGky0OyJRd
36914138,neademokratia,490253684,karampateas
36914138,neademokratia,1250718876347912194,etm8O8AXmSm85tu
36914138,neademokratia,760787054749949952,ZachTheodoridou
36914138,neademokratia,826656298892550144,Masniyom1970
36914138,neademokratia,34255616,ntsagkoulis
36914138,neademokratia,1250532801000157184,TsoniAnna
36914138,neademokratia,103065240,Saltsadoros
36914138,neademokratia,74072468,nikolianos
36914138,neademokratia,1244020002812035072,Naf22221
36914138,neademokratia,1250283622902296578,A75CP67YV7kxbSA
36914138,neademokratia,238467380,sunsshine1980
36914138,neademokratia,171410775,lakis1975
36914138,neademokratia,1949382967,ntsouros1
36914138,neademokratia,328238437,viviekon
36914138,neademokratia,1125721837,LLeypoldt
36914138,neademokratia,1136653850931339266,x_xpizza
36914138,neademokratia,1250590156341547009,LeondiSmaragda
36914138,neademokratia,1244787272526057475,ezQpxNOEj7m3Puw
36914138,neademokratia,1502459870,GeorgeCharalam7
36914138,neademokratia,1425666470,MandyNti
36914138,neademokratia,1220101565832450048,toskas_george
36914138,neademokratia,4084747893,TeDiMan11
36914138,neademokratia,4067964195,72ZsqKs3SYqs9GJ
36914138,neademokratia,1250507774649405441,Digenis_Sot
36914138,neademokratia,312808964,ChristoforosChr
36914138,neademokratia,1250489158784647172,grigorisbikos
36914138,neademokratia,1204403486835822593,kostasxinos
36914138,neademokratia,1250487584595292161,andrianaemvo
36914138,neademokratia,635501682,aleka_terzi
36914138,neademokratia,1189503794138271744,ivur4
36914138,neademokratia,1247999460623503361,TasosVathis
36914138,neademokratia,1250130002055741440,Nkwstopoulou1
36914138,neademokratia,1250477629943287808,panosnaousa
36914138,neademokratia,1233423940560805888,TatsiIrene
36914138,neademokratia,1250475732620521472,VXk7xCJuE5YQtiX
36914138,neademokratia,1250471770571919362,odatzoglou_th
36914138,neademokratia,1250460234637815810,makrosot
36914138,neademokratia,1250460562573668353,greekprick
36914138,neademokratia,1077865207869915136,NikDimis
36914138,neademokratia,1237832819096924160,AndreasPaschal7
36914138,neademokratia,1250457733255610371,rZkyvpZ03Ou5ggF
36914138,neademokratia,1250457812058210304,MustafaHaim5
36914138,neademokratia,3909940636,marakimasoura
36914138,neademokratia,1250442301886742528,Aekopoulo211
36914138,neademokratia,2727033747,EfthimisP
36914138,neademokratia,1250436680466587664,HpzlVAUgUsEJOaz
36914138,neademokratia,1235262180636995589,Annamar86752445
36914138,neademokratia,1250435682620690439,VasilisValaris1
36914138,neademokratia,1250433463385092096,passyp2019
36914138,neademokratia,1250202017701736450,D95007957
36914138,neademokratia,90210992,Nemesisk13
36914138,neademokratia,4142157801,mhadui_mohamed
36914138,neademokratia,1241509944135999495,4PTb8SSWYJhT4JP
36914138,neademokratia,1248569750776668160,DimitraDimou5
36914138,neademokratia,1250402426206765058,IoannisMix
36914138,neademokratia,4764824665,3b2d4295f75046e
36914138,neademokratia,18413252,evtzigal
36914138,neademokratia,1248053684820377601,TasosPanoutsop3
36914138,neademokratia,1217454442490073089,Linadel19
